"1,2-Dichloroethane","1,2-Dimethylbenzene :- {o-Xylene}",Active Aluminium : Dissolved,Alkalinity to pH 4.5 : Grans Plot,Alkalinity to pH 4.5 as CaCO3,Aluminium,"Aluminium, Dissolved",Ammonia un-ionised as N,Ammoniacal Nitrogen : Load,Ammoniacal Nitrogen as N,"Ammoniacal Nitrogen, Filtered as N",Anthracene,Arsenic,"Arsenic, Dissolved",BOD : 5 Day ATU,BOD : 5 Day ATU : Load,Barium,"Barium, Dissolved",Benzene,Benzo(a)Pyrene,Bicarbonate as HCO3,Boron,"Boron, Dissolved",CHLOROPHYLL,Cadmium,"Cadmium, Dissolved",Calcium,"Calcium, Dissolved","Carbon, Organic, Dissolved as C :- {DOC}",Chemical Oxygen Demand :- {COD},Chloride,Chlorine : Total Available,Chlorine : Total Available : Filtered,Chlorine Free as Cl2,Chloroform : Load :- {Trichloromethane},Chloroform :- {Trichloromethane},Chromium,Chromium : Load,"Chromium Hexavalent, Dissolved :- {Cr VI}","Chromium, Dissolved","Colour, Filtered",Conductivity at 25 C,Copper,Copper : BLM Bioavailable,Copper : Load,"Copper, Dissolved",Cyanide : Free as CN,Cypermethrin,Cypermethrin Identification,Deltamethrin,Descriptive Site Inspection : Pass/Fail 1/0,"Detergents, Anionic","Dimethylbenzene : Sum of (1,2- 1,3- 1,4-) :- {Xylene}","Dimethylbenzene : Sum of isomers (1,3- 1,4-)",Enterococci: Intestinal: Confirmed: MF,Enterococci: Intestinal: Presumptive: MF,Escherichia coli : Confirmed : MF,Flow : Daily total,"Flow, instantaneous",Fluoranthene,Fluoride,GCMS Screen : Semi-Volatile Screen: Semi Quantitative,HCH -gamma :- {Lindane},"Hardness, Total as CaCO3",Ionic Balance,Ionic Balance: Dissolved,Iron,"Iron, Dissolved",LCMS Screen : Semi Quantitative,Lead,Lead : BLM Bioavailable,"Lead, Dissolved",Lithium,"Lithium, Dissolved",MST Filtration,Magnesium,"Magnesium, Dissolved",Manganese,Manganese : BLM Bioavailable,"Manganese, Dissolved",Mercury,"Mercury, Dissolved",Nickel,Nickel : BLM Bioavailable,"Nickel, Dissolved",Nitrate as N,"Nitrate, Filtered as N",Nitrite as N,"Nitrite, Filtered as N","Nitrogen, Dissolved Inorganic : as N","Nitrogen, Kjeldahl as N","Nitrogen, Organic as N","Nitrogen, Total Oxidised as N","Nitrogen, Total Oxidised, Filtered as N","Nitrogen, Total as N",No flow /No sample,"Oils, Grease and Fats","Orthophosphate, Filtered as P","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",PCB - 028,PCB - 052,PCB - 101,PCB - 118,PCB - 138,PCB - 153,PCB - 180,PCB : Total,Phenol,Phosphate :- {TIP},"Phosphorus, Total as P",Phytoplankton,Population Equivalent - Calculated,Potassium,"Potassium, Dissolved",Rotenone,Salinity : In Situ,Sample Depth below surface,Sampling Frequency,"Silica, reactive as SiO2","Silicate, Filtered as SiO2",Sodium,"Sodium, Dissolved","Solids, Suspended at 105 C",Strontium,"Strontium, Filtered",Sulphate as SO4,"Sulphate, Dissolved as SO4",Temperature of Water,Time of high tide,Time of sampling relative to previous high water,Toluene :- {Methylbenzene},Turbidity,Turbidity : In Situ,"Visible oil or grease, significant trace: Present/Not found (1/0)",Volume of Sample Filtered,Water Depth,Zinc,Zinc : BLM Bioavailable,Zinc : Load,"Zinc, Dissolved",cis-Permethrin,pH,pH : In Situ,trans-Permethrin
,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,0.004,,,0.67,0.64,0.2,,0.87,,,,0.015,,,,,,,,,,,,0.02,0.017,,,,,,,,,,,,,3.2,,,,,2.5,,,,,,,,,,,,,,,,
,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,0.004,,,0.49,0.46,0.2,,0.69,,,,0.014,,,,,,,,,,,,0.02,0.017,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,
,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,0.004,,,0.34,0.31,0.2,,0.54,,,,0.01,,,,,,,,,,,,0.02,0.014,,,,,,,,,,,,,3,,,,,4.1,,,,,,,,,,,,,,,,
,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,0.004,,,0.41,0.38,0.2,,0.61,,,,0.01,,,,,,,,,,,,0.02,0.016,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,
,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,0.004,,,0.16,0.13,0.2,,0.36,,,,0.01,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,3,,,,,7.2,,,,,,,,,,,,,,,,
,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,0.004,,,0.51,0.48,0.2,,0.71,,,,0.01,,,,,,,,,,,,0.02,0.022,,,,,,,,,,,,,3.9,,,,,8.1,,,,,,,,,,,,,,,,
,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,0.004,,,0.3,0.27,0.2,,0.5,,,,0.01,,,,,,,,,,,,0.02,0.017,,,,,,,,,,,,,4.7,,,,,7,,,,,,,,,,,,,,,,
,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,0.004,,,0.14,0.11,0.2,,0.34,,,,0.01,,,,,,,,,,,,0.02,0.014,,,,,,,,,,,,,3,,,,,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37679,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,67,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,63,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,62,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,56,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,820,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,410,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,490,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.46,,56,5.9,,,,,,,,,,,,,362,2.2,,,1.9,,,,,,,,,,,,,,,,,,,,,,130,,25,,18,,,,,6.6,,,,,,1.8,,1.6,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3.6,,,,,,,,,110,,,110,,8.32,,
,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.55,,57,4.9,,,,,,,,,,,,,378,1.1,,,1,,,,,,,,,,,,,,,,,,,,,,97,,40,,26,,,,,8.1,,,,,,1.7,,1.5,,,,,,,,,,,,,,,,102.7,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,7.1,,,,,,,,,140,,,130,,8.39,,
,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.24,,32,11,,,,,,,,,,,,,227,2.9,,,2.2,,,,,,,,,,,,,,,,,,,,,,310,,37,,12,,,,,4.1,,,,,,2.5,,1.8,,,,,,,,,,,,,,,,101.4,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,6.1,,,,,,,,,89,,,56,,8.24,,
,,,,,,,,,0.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.5,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.5,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,
,,,,25,,,2.00E-05,,0.0024,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,0.0011,,,,,0.21,,,,,,0.0039,12.6,97.1,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,4.3,,,,8.9,,,,,,,,,,7.79,,
,,,,46,,,0.00029,,0.06,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368,,0.0023,,,,,0.37,,,,,,0.0083,12.8,97.9,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,4.1,,,,4.5,,,,,,,,,,7.61,,
,,,,18,,,4.00E-05,,0.0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189,,0.001,,,,,0.19,,,,,,0.0054,13.1,101.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,7.62,,
,,,,49,,,0.00021,,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,0.002,,,,,0.073,,,,,,0.0055,11.5,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,7.37,,
,,,,47,,,0.00017,,0.024,,,,1,,,,,,,,,100,1.2,,0.015,,,14,,14,,,,,,,,,0.5,,160,,,,1.5,,,,,,,,,,,,,,,,,,,,,,530,,,,0.51,,,,,,,,16,,0.01,,,1.4,0.647,,0.0026,,,,,0.65,,,,,,0.01,13.4,100.6,,,,,,,,,,,0.033,,,,1.6,,,,,4.1,,,7.8,4.9,,,,10,3.2,,,,5.4,,,,,,,,4.8,,7.8,,
,,,,64,,,0.00012,,0.013,,,,1,,,,,,,,,100,,,0.011,,,13,,15,,,,,,,,,0.5,,192,,,,0.96,,,,,,,,,,,,,,,,,,,,,,620,,,,0.5,,,,,,,,12,,0.01,,,1.3,0.489,,0.0014,,,,,0.49,,,,,,0.0043,12.9,100.3,,,,,,,,,,,0.022,,,,1.4,,,,,4.5,,,8.9,6.7,,,,12,4.6,,,,5.3,,,,,,,,15,,7.86,,
,,,,,,,0.00014,,0.03,,,,1,,,,,,,,,100,1,,0.014,,,13,,9.8,,,,,,,,,0.5,,117,,,,1.3,,,,,,,,,,,,,,,,,,,,,,480,,,,0.52,,,,,,,,12,,0.01,,,1.3,0.536,,0.004,,,,,0.54,,,,,,0.01,13.1,101.7,,,,,,,,,,,0.01,,,,0.82,,,,,3.1,,,5.3,,,,,10,4.5,,,,2.5,,,,,,,,6.1,,7.57,,
,,,,,,,0.0002,,0.03,,,,1,,,,,,,,,100,,,0.018,,,14,,10,,,,,,,,,0.5,,122,,,,1.1,,,,,,,,,,,,,,,,,,,,,,610,,,,0.78,,,,,,,,12,,0.01,,,1.3,0.216,,0.004,,,,,0.22,,,,,,0.01,11.2,94.9,,,,,,,,,,,0.018,,,,0.83,,,,,2.5,,,6.2,,,,,10,8,,,,3.4,,,,,,,,5.1,,7.62,,
,,,,21,,,2.00E-05,,0.0054,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179,,0.001,,,,,0.18,,,,,,0.0052,12.6,98.5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4.9,,,,2.2,,,,,,,,,,7.45,,
,,,,24,,,3.00E-05,,0.0033,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,,0.001,,,,,0.2,,,,,,0.0054,13.2,101.6,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4.3,,,,2.4,,,,,,,,,,7.9,,
,,,,22,,,5.00E-05,,0.0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,0.001,,,,,0.055,,,,,,0.0025,13.4,110.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,7.89,,
,,,,27,,,3.00E-05,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,0.001,,,,,0.12,,,,,,0.0029,12.9,111.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,7.9,,
,,,,38,,,3.00E-05,,0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,0.0011,,,,,0.12,,,,,,0.0049,12.2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,7.71,,
,,,,40,,,7.00E-05,,0.011,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408,,0.0016,,,,,0.41,,,,,,0.0085,13,97.2,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,3.3,,,,4.2,,,,,,,,,,7.77,,
,,,,57,,,5.00E-05,,0.0056,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339,,0.0012,,,,,0.34,,,,,,0.0039,13,101.1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4.6,,,,4.3,,,,,,,,,,7.9,,
,,,,69,,,4.00E-05,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,0.0011,,,,,0.13,,,,,,0.0028,11.3,103.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,8.17,,
,,,,24,,,3.00E-05,,0.0089,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,,0.001,,,,,0.16,,,,,,0.0085,12.8,96.6,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3.4,,,,2.6,,,,,,,,,,7.53,,
,,,,11,,,3.00E-05,,0.013,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,,0.001,,,,,0.15,,,,,,0.0087,12.8,102.5,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,5.7,,,,4.4,,,,,,,,,,7.18,,
,,,,51,,,0.00014,,0.0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,0.001,,,,,0.023,,,,,,0.0026,13,110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,8.19,,
,,,,,,,,,,0.007,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0988,,0.0012,0.107,,,,0.1,,,,0.015,,9.55,98.7,,,,,,,,,,,,1,,,,,34.03,0.2,,,0.31,,,,,,,,7.4,9.44,1.57,,,2.4,,3000,18.63,,,,,,,,
,,,,,,,,,,0.007,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,,0.0019,0.117,,,,0.11,,,,0.021,,9.61,98.6,,,,,,,,,,,,1,,,,,34.28,0.2,,,0.36,,,,,,,,7,8.31,4.58,,,4.2,,3000,17.91,,,,,,,,
,,,,,,,,,,0.0071,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,0.0017,0.127,,,,0.12,,,,0.022,,9.77,99.3,,,,,,,,,,,,1,,,,,34.21,0.2,,,0.36,,,,,,,,6.6,17.5,6.46,,,2.8,,2000,16.35,,,,,,,,
,,,,,,,,,,0.007,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,0.0011,0.127,,,,0.12,,,,0.02,,9.48,98.8,,,,,,,,,,,,1,,,,,34.19,0.2,,,0.4,,,,,,,,7.7,8.41,7.01,,,3.7,,3000,33.63,,,,,,,,
,,,,,,,,,,0.007,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,,0.0011,0.117,,,,0.11,,,,0.021,,9.56,98.6,,,,,,,,,,,,1,,,,,34.31,0.2,,,0.35,,,,,,,,7.2,20.48,7.35,,,5.3,,3000,34.49,,,,,,,,
,,,,,,,,,,0.007,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,,0.0018,0.137,,,,0.13,,,,0.02,,9.87,101,,,,,,,,,,,,1,,,,,33.93,0.2,,,0.41,,,,,,,,7,17.5,9.15,,,2.4,,2000,35.15,,,,,,,,
,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,6.9,,
,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,6.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
